Distrito;Oferta_m2;Tendencia_Anual;Alquiler_Medio_m2;Fuente_Oferta
D1 Centro y Casco Histórico;2871;22.7;12.1;Idealista May-2026 (Plaza América / Salesas-Foncalada / Auditorio-Seminario)
D2 Ciudad Naranco-Vallobín-La Florida-Las Campas;2150;16;9.8;Idealista May-2026 (agregado zona Naranco/La Florida)
D3 La Monxina-Guillén-La Corredoria;2307;21.6;10;Idealista May-2026 (Corredoria-La Carisa-Prado Vega)
D4 San Lázaro-Otero-Tenderina-Ventanielles-Colloto;1950;12;9.2;Idealista May-2026 (agregado zona Tenderina/Otero)
D5 La Argañosa-Ería-Buenavista-El Cristo-Montecerrao;2455;25.3;10.7;Idealista May-2026 (HUCA-La Cadellada / Valentín Masip)
D6 Pumarín-Teatinos-Pando-Pontón Vaqueros;1974;-0.7;9.5;Idealista May-2026 (Milán-Pumarín)
D Rural;1260;14.9;7.5;Idealista May-2026 (La Manjoya-Parroquias Sur)
