Distrito;Oferta_m2;Tendencia_Anual;Alquiler_Medio_m2;Fuente_Oferta
D1 Casco Histórico;1860;11.3;9;Idealista Mar-2026 (Casco Histórico / Antequeruela y Covachuelas / Los Cigarrales)
D2 Santa Bárbara;1820;13;9;Idealista Mar-2026 (Santa Bárbara / est. zonal)
D3 Santa María de Benquerencia;1678;17.8;8.5;Idealista Mar-2026 (Azucaica-Sta Mª de Benquerencia)
D4 Centro;2110;14.5;9.7;Idealista Mar-2026 (Avda Europa-San Antón / Palomarejos / Santa Teresa-Reconquista)
D5 Norte;2353;23.3;10;Idealista Mar-2026 (Buenavista-Valparaíso-La Legua)
